Plate	Plate.Date	Sort.Date	Production.Date	Internal.Index	External.Index	Sequencing.Dates	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID
EXE28_P2	08/11/20	10/11/2020	22/11/20	2	4B	201214	EXE28_P2	201214	EXE28_P2
EXE28_P3	08/11/20	10/11/2020	22/11/20	3	4C	201214	EXE28_P3	201214	EXE28_P3
EXE28_P4	08/11/20	10/11/2020	22/11/20	4	4D	201214	EXE28_P4	201214	EXE28_P4
EXE28_P5	08/11/20	10/11/2020	22/11/20	5	4E	201214	EXE28_P5	201214	EXE28_P5
EXE28_P6	08/11/20	10/11/2020	22/11/20	6	4F	201214	EXE28_P6	201214	EXE28_P6
EXE28_P7	08/11/20	10/11/2020	22/11/20	7	4G	201214	EXE28_P7	201214	EXE28_P7
EXE28_P8	08/11/20	10/11/2020	22/11/20	8	4H	201214	EXE28_P8	201214	EXE28_P8
EXE28_P9	08/11/20	10/11/2020	23/11/20	9	4A	201214	EXE28_P9	201214	EXE28_P9
EXE3_e1_E6.5_1	10/12/2019	11/3/2019	12/3/2019	11	4G	191215	EXE3_e1_E6.5_1	191215	EXE3_e1_E6.5_1
EXE3_e2-3_E6.5_2	10/12/2019	11/3/2019	12/3/2019	12	4G	191215	EXE3_e2-3_E6.5_2	191215	EXE3_e2-3_E6.5_2
EXE3_e4-e5_E6.5_3	10/12/2019	11/3/2019	12/3/2019	13	4H	191215	EXE3_e4-e5_E6.5_3	191215	EXE3_e4-e5_E6.5_3
EXE3_m2e1-e3_E6.5_4	10/28/2019	11/3/2019	12/3/2019	14	4H	191215	EXE3_m2e1-e3_E6.5_4	191215	EXE3_m2e1-e3_E6.5_4
EXE3_m2e3cont-m3e1-e2_E6.5_5	10/28/2019	11/3/2019	12/3/2019	15	4H	191215	EXE3_m2e3cont-m3e1-e2_E6.5_5	191215	EXE3_m2e3cont-m3e1-e2_E6.5_5
EXE4_M1E1-E4,M2E1-E2_E5.5_1	10/28/2019	11/11/2019	12/2/2019	1	4E	191215	EXE4_M1E1-E4,M2E1-E2_E5.5_1	191215	EXE4_M1E1-E4,M2E1-E2_E5.5_1
EXE5_E1-E4_E6.5_1	9/1/2019	11/14/2019	12/2/2019	2	4E	191215	EXE5_E1-E4_E6.5_1	191215	EXE5_E1-E4_E6.5_1
EXE5_E4cont-E6_E6.5_2	9/1/2019	11/14/2019	12/2/2019	3	4E	191215	EXE5_E4cont-E6_E6.5_2	191215	EXE5_E4cont-E6_E6.5_2
EXE5_E6cont-E7_E6.5_3	9/1/2019	11/14/2019	12/2/2019	7	4F	191215	EXE5_E6cont-E7_E6.5_3	191215	EXE5_E6cont-E7_E6.5_3
lin_trace_p1_exp1	16/07/20	27/07/20	14/09/20	1	5A	201101	lin_trace_p1_exp1	201101	lin_trace_p1_exp1
lin_trace_p10_exp1	16/07/20	27/07/20	15/09/20	10	5B	201101	lin_trace_p10_exp1	201101	lin_trace_p10_exp1
lin_trace_p11_exp1	16/07/20	27/07/20	15/09/20	11	5C	201101	lin_trace_p11_exp1	201101	lin_trace_p11_exp1
lin_trace_p12_exp1	16/07/20	27/07/20	15/09/20	12	5D	201101	lin_trace_p12_exp1	201101	lin_trace_p12_exp1
lin_trace_p13_exp1	16/07/20	27/07/20	15/09/20	13	5E	201101	lin_trace_p13_exp1	201101	lin_trace_p13_exp1
lin_trace_p15_exp1	16/07/20	27/07/20	15/09/20	15	5G	201101	lin_trace_p15_exp1	201101	lin_trace_p15_exp1
